Date;Total value in rubles;Total value in dollars;As pc of gdp;Liquid part in rubles;Liquid part in dollars;Dollars (in dollars);Euros (in euros);Sterlings (in sterlings);Yens (in yen);Yuan (in yuan);Gold (in T);Rubles;Deposits CBR;Link;Note;;
Nov 1, 21;13.9450665 tr;197.7463 bn;12.1;8.1021194 tr;114.8911 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7023;405.7084;0.2718 bn;;https://minfin.gov.ru/ru/press-center/?id_4=37675-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Oct 1, 21;13.8985218 tr;191.0166;12.0;8.2796604 tr;113.7929 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7023;405.7084;0.3375 bn;;https://minfin.gov.ru/ru/press-center/?id_4=37635-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Sep 1, 21;14.016994 tr;190.5146 bn;12.1;8.4778605 tr;115.2284 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7023;405.7084;0.2577 bn;;https://minfin.gov.ru/ru/press-center/?id_4=37604-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Aug 1, 21;13,757049 tr;188,095 bn;11.9;8,4941349 tr;116,1372 bn;0 bn;38,5616 bn;4.1787 bn;600.304 bn;226,6252 bn;405.7084;0 bn;0,5323561 bn;https://minfin.gov.ru/ru/press-center/?id_4=37577-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Jul 1, 21;13.5745812 tr;187.566 bn;11.7;8,3133102 tr;114,8687 bn;3,3621 bn;38,3992 bn;4,2464 bn;600,3040 bn;226,6011 bn;340,5569 t;0,2876 bn;0,5326289 bn;https://minfin.gov.ru/ru/press-center/?id_4=37551-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Jun 1, 21;13.938079 tr;189.41 bn;12.1;8,6158923 tr;117.084 bn;34,8431 bn;35,7423 bn;7,4785 bn;600,3040 bn;143,8811 bn;0 t;0,2638 bn;0,5329164 bn;https://minfin.gov.ru/ru/press-center/?id_4=37522-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
May 1, 21;13.882543 tr;185.869 bn;12.1;8.6607043 tr;116,435. bn;39,8443 bn;34,6909 bn;8,5513 bn;600,3040 bn;110.5651 bn;0 t;0.2629 bn;0,5331802 bn;"https://www.interfax.ru/business/770329; https://www.rosbalt.ru/news/2021-06-10/fnb-popolnilsya-za-may-bolee-chem-na-110-mlrd-rubley-4889739; https://minfin.gov.ru/ru/press-center/?id_4=37470-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya";Definition: the liquid assets of the National Welfare Fund (funds in bank accounts with the Bank of Russia);;
Apr 1, 21;13,8021185 tr;182,3210 bn;11.9;8,6797757 tr;114,6567 bn;39,8443 bn;34,7234 bn;8,5513 bn;600,3040 bn;110,5385 bn;0 t;0,3089 bn;0,5334431 bn;https://minfin.gov.ru/ru/press-center/?id_4=37436-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Mar 1, 21;13,5520537 tr;182,0600 bn;11.7;8,6867930 tr;116,6995 bn;39,8410 bn;34,7234 bn;8,5513 bn;600,3040 bn;110,5385 bn;0 t;0 bn;0,5339950 bn;https://minfin.gov.ru/ru/press-center/?id_4=37401-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Feb 1, 21;13,6493028 tr;179,0009 bn;11.8;8,8764780 tr;116,4087 bn;51,2479 bn;44,1693 bn;8,5513 bn;0 bn;0 bn;0 t;0,2727 bn;0,533995 bn;https://minfin.gov.ru/ru/press-center/?id_4=37368-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
